"panther_id","sex","age","age_unit"
"FP255","Male","10","Years"
"FP256","Female","1.7","Years"
"FP257","Female","7","Years"
"FP258","","",""
"FP259","Male","2.75","Years"
"FP260","","",""
"FP261","Female","2.5","Years"
"FP262","","",""
"FP263","","",""
"FP264","Female","5","Months"
"FP265","Female","2","Years"
"FP266","","",""
"FP267","","",""
"FP268","Female","6.5","Years"
"FP269","","",""
"FP270","","",""
"FP271","","",""
"K049","Female","7.8","Years"
"K076","Male","3","Months"
"K094","Male","3.25","Years"
"K098","Female","19","Months"
"K128","Male","2.5","Years"
"K153","Male","25","Months"
"K156","Male","6","Months"
"K199","Female","20","Months"
"K203","Male","1","Months"
"K247","Female","17","Days"
"K248","Male","17","Days"
"K249","Female","11","Days"
"K253","Male","18","Months"
"K259","Male","18","Days"
"K260","Unknown","18","Days"
"K268","Female","14","Days"
"K269","Male","14","Days"
"K284","Male","1.5","Years"
"K322","Female","70","Days"
"K323","Male","35","Days"
"K324","Male","35","Days"
"K325","Male","35","Days"
"K351","Male","12","Days"
"K364","Male","6","Years"
"K368","Female","1.5","Years"
"K373","Female","9","Years"
"K387","Male","2.8","Years"
"K388","Male","4","Years"
"K390","Female","1.33","Years"
"K402","Male","1.5","Years"
"K403","Female","2.5","Years"
"K411","Male","3.7","Years"
"K421","Male","2.4","Years"
"K430","Male","4","Years"
"K432","Female","13","Months"
"K446","Male","9","Years"
"K504","Female","1.5","Years"
"K516","Female","3","Months"
"K517","Male","70","Days"
"K518","Male","3","Months"
"K519","Female","6","Months"
"K520","Female","2.5","Months"
"K521","","",""
"K522","Male","32","Days"
"K523","","",""
"K524","Female","32","Days"
"PC1144","Female","4.5","Months"
"TX101","","",""
"TX102","","",""
"TX103","","",""
"TX104","","",""
"TX105","","",""
"TX106","","",""
"TX107","","",""
"TX108","","",""
"UCFP001","Unknown","",""
"UCFP002","Male","2.5","Years"
"UCFP003","Male","",""
"UCFP004","Female","",""
"UCFP005","Male","2","Years"
"UCFP006","Female","2","Years"
"UCFP008","Male","4.5","Years"
"UCFP009","Male","3","Years"
"UCFP010","Female","",""
"UCFP011","Female","2.5","Years"
"UCFP012","Female","",""
"UCFP013","Female","",""
"UCFP014","Female","2.5","Years"
"UCFP015","Female","4.5","Years"
"UCFP017","Male","10",""
"UCFP018","Male","3","Years"
"UCFP019","Male","10","Months"
"UCFP020","Female","9","Months"
"UCFP021","Female","7","Months"
"UCFP022","Male","2.5","Years"
"UCFP023","Male","8","Months"
"UCFP024","Female","10","Days"
"UCFP026","Male","4","Years"
"UCFP027","Female","2","Years"
"UCFP028","Male","2.5","Years"
"UCFP029","Male","4","Years"
"UCFP030","Female","1","Years"
"UCFP031","Male","0.75","Years"
